account_id,owner_name,registration_date,country,is_suspicious,suspicious_type,suspicious_role
10000070,周成,2020-12-03,德国,True,循环闭环交易_1,洗钱者
10000071,泰麒麟科技有限公司,2022-03-10,英国,True,循环闭环交易_1,协助者
10000072,段桂英,2022-07-20,英国,True,循环闭环交易_1,协助者
10000073,任杰,2022-09-23,美国,True,循环闭环交易_1,协助者
10000074,杨桂花,2020-04-29,法国,True,循环闭环交易_2,洗钱者
10000075,郁阳,2020-05-04,英国,True,循环闭环交易_2,协助者
10000076,雨林木风计算机科技有限公司,2022-09-03,法国,True,循环闭环交易_2,协助者
10000078,周萍,2020-05-20,法国,True,循环闭环交易_3,协助者
10000079,凌颖信息传媒有限公司,2021-04-26,德国,True,循环闭环交易_3,协助者
10000077,兰金电子传媒有限公司,2022-11-06,中国,True,循环闭环交易_3,洗钱者
10000080,惠派国际公司科技有限公司,2021-05-19,法国,True,星型拆分入账_1,洗钱者
10000081,彩虹传媒有限公司,2020-06-16,德国,True,星型拆分入账_1,协助者
10000082,殷玉华,2022-12-06,英国,True,星型拆分入账_1,协助者
10000083,魏淑英,2021-02-22,英国,True,星型拆分入账_1,协助者
10000084,石坤,2022-03-21,美国,True,星型拆分入账_1,协助者
10000085,谢瑞,2021-09-06,德国,True,星型拆分入账_1,协助者
10000086,张鹏,2020-05-28,中国,True,星型拆分入账_1,协助者
10000087,金坤,2020-07-23,中国,True,星型拆分入账_1,协助者
10000093,侯婷婷,2021-09-05,中国,True,星型拆分入账_2,协助者
10000091,赵桂兰,2021-09-11,法国,True,星型拆分入账_2,协助者
10000092,鞠伟,2022-12-19,中国,True,星型拆分入账_2,协助者
10000089,汪伟,2020-05-20,美国,True,星型拆分入账_2,协助者
10000088,徐楠,2022-11-02,英国,True,星型拆分入账_2,洗钱者
10000090,崔莉,2020-11-19,德国,True,星型拆分入账_2,协助者
10000094,黄桂香,2020-10-02,英国,True,星型拆分入账_3,洗钱者
10000095,王冬梅,2020-11-14,英国,True,星型拆分入账_3,协助者
10000096,曹莉,2021-03-07,英国,True,星型拆分入账_3,协助者
10000097,吴宁,2021-06-24,法国,True,星型拆分入账_3,协助者
10000098,刘玉梅,2020-04-14,中国,True,星型拆分入账_3,协助者
10000099,熊玉梅,2021-07-20,中国,True,星型拆分入账_3,协助者
10000105,雨林木风计算机信息有限公司,2021-09-23,英国,True,跨境多层转账_1,协助者
10000104,毛畅,2020-10-30,德国,True,跨境多层转账_1,协助者
10000103,凌颖信息网络有限公司,2020-11-01,中国,True,跨境多层转账_1,协助者
10000102,萧淑珍,2020-01-20,中国,True,跨境多层转账_1,协助者
10000100,图龙信息科技有限公司,2020-09-24,高危国3,True,跨境多层转账_1,洗钱者
10000101,王莉,2020-11-26,德国,True,跨境多层转账_1,协助者
10000106,沈军,2020-03-22,高危国2,True,跨境多层转账_2,洗钱者
10000107,思优传媒有限公司,2021-05-26,中国,True,跨境多层转账_2,协助者
10000108,张丹丹,2022-04-12,美国,True,跨境多层转账_2,协助者
10000109,雍秀兰,2021-04-29,美国,True,跨境多层转账_2,协助者
10000110,鲁秀珍,2020-12-28,德国,True,跨境多层转账_2,协助者
10000113,张红梅,2020-08-09,德国,True,跨境多层转账_3,协助者
10000111,快讯信息有限公司,2021-11-11,高危国2,True,跨境多层转账_3,洗钱者
10000112,刘春梅,2021-05-23,英国,True,跨境多层转账_3,协助者
10000114,张琳,2022-08-21,美国,True,跨境多层转账_3,协助者
