transaction_id,src_account,src_account_country,dst_account,dst_account_country,amount,currency,value_date,is_suspicious,suspicious_type
TXN000701,10000070,德国,10000071,英国,99744.53,CNY,2023-01-12 00:00:00,True,循环闭环交易_1
TXN000702,10000071,英国,10000072,英国,99744.53,CNY,2023-01-12 00:00:00,True,循环闭环交易_1
TXN000703,10000072,英国,10000073,美国,99744.53,CNY,2023-01-12 00:00:00,True,循环闭环交易_1
TXN000704,10000073,美国,10000070,德国,99744.53,CNY,2023-01-12 00:00:00,True,循环闭环交易_1
TXN000705,10000074,法国,10000075,英国,91224.65,CNY,2023-04-12 00:00:00,True,循环闭环交易_2
TXN000706,10000075,英国,10000076,法国,91224.65,CNY,2023-04-12 00:00:00,True,循环闭环交易_2
TXN000707,10000076,法国,10000074,法国,91224.65,CNY,2023-04-12 00:00:00,True,循环闭环交易_2
TXN000708,10000077,中国,10000078,法国,82836.88,CNY,2023-08-16 00:00:00,True,循环闭环交易_3
TXN000709,10000078,法国,10000079,德国,82836.88,CNY,2023-08-16 00:00:00,True,循环闭环交易_3
TXN000710,10000079,德国,10000077,中国,82836.88,CNY,2023-08-16 00:00:00,True,循环闭环交易_3
TXN000717,10000087,中国,10000080,法国,6164.38,CNY,2023-02-17 00:00:00,True,星型拆分入账_1
TXN000716,10000086,中国,10000080,法国,2511.73,CNY,2023-02-17 00:00:00,True,星型拆分入账_1
TXN000715,10000085,德国,10000080,法国,5148.49,CNY,2023-02-17 00:00:00,True,星型拆分入账_1
TXN000712,10000082,英国,10000080,法国,8463.38,CNY,2023-02-17 00:00:00,True,星型拆分入账_1
TXN000713,10000083,英国,10000080,法国,3983.62,CNY,2023-02-17 00:00:00,True,星型拆分入账_1
TXN000711,10000081,德国,10000080,法国,9144.8,CNY,2023-02-17 00:00:00,True,星型拆分入账_1
TXN000714,10000084,美国,10000080,法国,1384.22,CNY,2023-02-17 00:00:00,True,星型拆分入账_1
TXN000718,10000089,美国,10000088,英国,5464.64,CNY,2023-07-22 00:00:00,True,星型拆分入账_2
TXN000719,10000090,德国,10000088,英国,4444.18,CNY,2023-07-22 00:00:00,True,星型拆分入账_2
TXN000720,10000091,法国,10000088,英国,4839.55,CNY,2023-07-22 00:00:00,True,星型拆分入账_2
TXN000721,10000092,中国,10000088,英国,4185.14,CNY,2023-07-22 00:00:00,True,星型拆分入账_2
TXN000722,10000093,中国,10000088,英国,9173.83,CNY,2023-07-22 00:00:00,True,星型拆分入账_2
TXN000727,10000099,中国,10000094,英国,3211.82,CNY,2023-05-21 00:00:00,True,星型拆分入账_3
TXN000726,10000098,中国,10000094,英国,6571.97,CNY,2023-05-21 00:00:00,True,星型拆分入账_3
TXN000723,10000095,英国,10000094,英国,3518.41,CNY,2023-05-21 00:00:00,True,星型拆分入账_3
TXN000724,10000096,英国,10000094,英国,8949.93,CNY,2023-05-21 00:00:00,True,星型拆分入账_3
TXN000725,10000097,法国,10000094,英国,1311.81,CNY,2023-05-21 00:00:00,True,星型拆分入账_3
TXN000728,10000101,德国,10000105,英国,35789.88,CNY,2023-06-01 00:00:00,True,跨境多层转账_1
TXN000729,10000105,英国,10000103,中国,35789.88,CNY,2023-06-01 00:00:00,True,跨境多层转账_1
TXN000730,10000103,中国,10000100,高危国3,35789.88,CNY,2023-06-01 00:00:00,True,跨境多层转账_1
TXN000731,10000101,德国,10000105,英国,88942.75,CNY,2023-06-01 00:00:00,True,跨境多层转账_1
TXN000732,10000105,英国,10000102,中国,88942.75,CNY,2023-06-01 00:00:00,True,跨境多层转账_1
TXN000733,10000102,中国,10000100,高危国3,88942.75,CNY,2023-06-01 00:00:00,True,跨境多层转账_1
TXN000739,10000108,美国,10000106,高危国2,160744.84,CNY,2023-08-03 00:00:00,True,跨境多层转账_2
TXN000738,10000110,德国,10000108,美国,160744.84,CNY,2023-08-03 00:00:00,True,跨境多层转账_2
TXN000737,10000107,中国,10000110,德国,160744.84,CNY,2023-08-03 00:00:00,True,跨境多层转账_2
TXN000735,10000108,美国,10000110,德国,198092.65,CNY,2023-08-03 00:00:00,True,跨境多层转账_2
TXN000734,10000107,中国,10000108,美国,198092.65,CNY,2023-08-03 00:00:00,True,跨境多层转账_2
TXN000736,10000110,德国,10000106,高危国2,198092.65,CNY,2023-08-03 00:00:00,True,跨境多层转账_2
TXN000744,10000114,美国,10000113,德国,52366.86,CNY,2023-07-03 00:00:00,True,跨境多层转账_3
TXN000740,10000112,英国,10000114,美国,89908.63,CNY,2023-07-03 00:00:00,True,跨境多层转账_3
TXN000741,10000114,美国,10000113,德国,89908.63,CNY,2023-07-03 00:00:00,True,跨境多层转账_3
TXN000742,10000113,德国,10000111,高危国2,89908.63,CNY,2023-07-03 00:00:00,True,跨境多层转账_3
TXN000743,10000112,英国,10000114,美国,52366.86,CNY,2023-07-03 00:00:00,True,跨境多层转账_3
TXN000745,10000113,德国,10000111,高危国2,52366.86,CNY,2023-07-03 00:00:00,True,跨境多层转账_3
